h_mean,h_std,h_rms,h_peak,h_skewness,h_kurtosis,h_crest_factor,h_shape_factor,h_impulse_factor,h_peak_to_peak,h_freq_mean,h_freq_std,h_freq_peak,h_spectral_energy,v_mean,v_std,v_rms,v_peak,v_skewness,v_kurtosis,v_crest_factor,v_shape_factor,v_impulse_factor,v_peak_to_peak,v_freq_mean,v_freq_std,v_freq_peak,v_spectral_energy,rul,snapshot_idx,split,condition,bearing
-0.009280888471136648,0.3173886891091406,0.3175243531844957,1.4718515149096572,-0.0034836492106174377,0.29425966607498966,4.635397254237728,1.2718618520153073,5.895584936620034,2.8752014959887,43.920221127730294,37.11552667796793,68.75,54174484.79935162,-0.009446664733690293,0.31587262219097784,0.3160138492604319,1.435440824114195,-0.013142729189320239,0.34655683367626233,4.542335177616484,1.2706321017804199,5.771636893744232,2.77039512984428,43.663525467522476,36.997103426109454,68.75,53662336.91218287,100.0,0,test,1,3
-0.0046361490077946165,0.3128172997612298,0.31285165319609476,1.5210279231463142,0.02458044493740286,0.33600365723651837,4.861818397322246,1.2717075080256324,6.18281095855161,2.805227730167009,43.683632318952405,36.05050502432203,68.75,52558211.40109052,-0.007096510504854996,0.31368255416978735,0.31376281687259744,1.5677447555348978,-0.0001149122679249086,0.3798077048573587,4.996591919833763,1.2726370005157772,6.358847753678876,2.9297293707029697,43.66783788500017,36.3411303843201,68.75,52880307.37466671,99.36305732484077,1,test,1,3
-0.004835629550940545,0.3223425602803319,0.32237882914551536,1.5012797518674195,0.021305024750898113,0.3337058910870141,4.656880713420282,1.2716344208086119,5.921849808803365,2.9876690946515847,44.682135505549105,37.54555750091151,68.75,55806560.19686202,-0.0056882165828281445,0.3199881891178221,0.32003874294028256,1.5987864122639106,-0.012997779439023728,0.36535104050570766,4.995602712254247,1.2730861220253786,6.359832484143094,3.075777676687868,44.49467747296086,37.11498118102645,68.75,55005972.914024584,98.72611464968153,2,test,1,3
-0.0040094520476178855,0.31909181900813377,0.3191170077943853,1.5772925789953798,0.028439798906638572,0.29426240961860683,4.94267789075888,1.2703027881566764,6.2786975056110395,2.998222023678744,44.34356386726011,37.02853165900511,68.75,54681007.11664386,-0.005052277951561843,0.3235677532777769,0.3236071947187333,1.5558164427295815,0.01755149501938116,0.30785131148767686,4.807731311650931,1.2682999568375477,6.097645415072246,3.047795223277505,44.69895008174847,37.87198477995597,2401.5625,56234530.72726194,98.08917197452229,3,test,1,3
-0.006344847156168899,0.32681736989150395,0.3268789536636387,1.4723010737452198,0.009228979790485613,0.3138876999450213,4.504117066085956,1.272185754437404,5.730073567810479,2.8748224016293284,45.37538666154839,37.99537598960934,68.75,57386177.51595919,-0.006478571120098354,0.32673025256107785,0.3267944764257558,1.4797507834212151,0.043526577270776245,0.35477580217832827,4.5280777068240035,1.270651191783887,5.753607334683576,2.9149358745395837,45.72303192251144,37.5520200304891,68.75,57356285.649834074,97.45222929936305,4,test,1,3
-0.00709374692480004,0.3234155045507319,0.32349329178398367,1.4315792866303916,3.397975398358058e-05,0.29921149248166223,4.425375496138324,1.2705855894607194,5.622818333363317,2.820312159210843,44.56608888189672,38.006939335662345,2404.6875,56207994.32120462,-0.008675522917008644,0.32209158214380174,0.32220839837872156,1.5317307266876439,-0.0039533929006481325,0.28378678657598977,4.753851030544847,1.271211373220855,6.0431494966450465,3.052793979132476,44.34166436327415,37.92148651364689,2404.6875,55774778.78431679,96.81528662420382,5,test,1,3
-0.00195571089975693,0.3257869980645148,0.32579286811256564,1.5031840398121699,0.015967757398679276,0.28946355054184636,4.613925554957779,1.2712529463772808,5.865466456123511,2.966422178230988,45.35024980397087,37.70283245046638,68.75,56985988.82624308,-0.0006284739253238926,0.3259709018024277,0.3259715076526824,1.636193263064262,0.030750382442679337,0.30542761841369215,5.019436437379003,1.2690531522901887,6.369931633595599,2.953929696667508,45.53356607074133,37.52745542269029,68.75,57042789.164983466,96.17834394904459,6,test,1,3
0.0009337219832744918,0.32337538418762185,0.3233767322106433,1.7833788521272749,0.05101280498891757,0.3266617925467332,5.514864473799219,1.2716371235648074,7.012906396333469,3.2235892122512384,44.77748367333658,37.704519391838616,68.75,56142296.29641456,0.0016755205872316093,0.3198167988229178,0.3198211878199706,1.5054057090810455,0.02084071414113121,0.31709174863867906,4.707023069164952,1.2696628640222658,5.976332391033535,2.9756703173700774,44.27127689076987,37.30630474360669,68.75,54914356.52975927,95.54140127388536,7,test,1,3
0.004627103427782869,0.31695838434345786,0.31699215683001775,1.4739409419601475,0.023754443058389488,0.3185532360596315,4.6497710123026055,1.2711640970672318,5.9106219704416745,2.8701057625069137,44.41058079413203,36.346003341038305,68.75,53957945.677232474,0.0068853329369803805,0.3181241708774383,0.3181986736397728,1.340852308670076,0.013339202976063282,0.30205536169766223,4.213884028265366,1.2697256814978573,5.350476769558992,2.663208403768921,44.462148813002926,36.63832556071135,68.75,54382585.06895019,94.90445859872611,8,test,1,3
0.006550445794349546,0.3208089939979283,0.3208758622428111,1.583358088745326,0.059383180366285364,0.4436475752505862,4.934487990692934,1.2744663518417678,6.2888389077250375,3.0622537058209818,44.02055107245341,37.912634734778926,68.75,55298896.51515791,0.002928910347365394,0.320427472420114,0.3204408581897224,1.6026831496323353,0.0027939284636059243,0.3080148727206291,5.001494374598256,1.2717760669898395,6.360780844818226,2.963645091644893,44.0006348486169,37.801020976169376,68.75,55131718.51545997,94.26751592356688,9,test,1,3
-0.003306246044621659,0.3218280068194401,0.32184498945343415,1.7060612351112447,0.04716903626655809,0.37019064013857417,5.3008786559120376,1.2733922408129261,6.750097749950214,3.1288685192956827,44.25486198843393,37.89579166158296,68.75,55616861.55711996,-0.002767059986833597,0.3211457695066953,0.3211576900729893,1.5084297125150745,0.013941000490517661,0.4157142759612791,4.696850672227584,1.2749446452995312,5.9882246143467075,2.9063313141966365,44.513677283962465,37.39682438077059,68.75,55377755.162328325,93.63057324840764,10,test,1,3
0.007492567983884292,0.32885596927175503,0.3289413125477836,1.533864234477596,0.028873719052917877,0.3226883089454824,4.663033118560067,1.2724499734854928,5.93347636809177,3.038591164877878,45.251146145828805,38.72616609969972,68.75,58120309.44530741,0.005712233904648593,0.3273714613066048,0.3274212932816118,1.4807733918697812,0.01844309849537285,0.2625265387228164,4.522532352810849,1.2691436652873853,5.739743286644673,2.7938284509421827,45.36722491490103,38.15321722892618,68.75,57570968.885605924,92.99363057324841,11,test,1,3
0.01633516368919484,0.3273407761652382,0.3277481064982884,1.4876941326722348,0.04004702294551865,0.32703730587446556,4.53913875678017,1.2709657987694138,5.769090115753916,2.9167608171533024,45.12297990675512,38.63358627271033,68.75,57813193.58802131,0.016654944605228213,0.3260004145273453,0.3264255772022226,1.5767636101218379,0.03377372925278165,0.3185921174649051,4.83039234741153,1.2709757028927604,6.139311309017987,2.9354246022414365,45.01125637270937,38.40084961056728,68.75,57354460.38221906,92.35668789808918,12,test,1,3
-0.0003970789351938511,0.3303337341846377,0.3303339728396818,1.4449005508027013,0.007805221953649341,0.3624638600732837,4.374059798867762,1.2741944621646641,5.573402772911259,2.875413083538117,45.61159621329186,38.66844891673841,68.75,58583722.40590091,3.807922463669629e-05,0.32824389773678536,0.3282438999455505,1.6318645991560594,0.004835557364580795,0.33791532737634355,4.971500154067703,1.2745616870135075,6.336483623375748,3.101512012385678,45.47773334457717,38.238114035182974,68.75,57841706.51857917,91.71974522292994,13,test,1,3
-0.003954629279875754,0.3232998497850922,0.3233240355491754,1.5969438373544065,0.031214659348750045,0.34054862860130486,4.939143588991184,1.26868116284909,6.266198431979344,3.011825339876661,44.89354806607201,37.5547562975009,68.75,56128149.56176017,-0.003953679869307122,0.3203419463290773,0.3203663436792486,1.6061830956386558,0.04703667370473508,0.39986831048117955,5.013582504290014,1.2746445451768862,6.390535590907486,3.1767578346470025,44.60991186658013,37.0620320190779,68.75,55109852.43242007,91.0828025477707,14,test,1,3
-0.00014780019718784766,0.32887358810361333,0.3288736213153062,1.6470459411197618,0.06456611450019131,0.44898370420002776,5.008142442460156,1.2742088967361902,6.381419656324248,3.0306742640705346,45.31473932199815,38.609241733916384,68.75,58066520.42590022,0.0001747089796058773,0.33050781357679815,0.330507859753052,1.5414109217804073,0.02468050458340824,0.3180476295796737,4.663764797991343,1.270584225298191,5.925705982846733,3.0586126367414357,45.36333544491166,39.00757289453865,68.75,58645265.54415636,90.44585987261146,15,test,1,3
0.0014210458695168443,0.3228988415787203,0.32290196850475034,1.572426130065743,0.013942942237804934,0.2817350188721597,4.869670313074418,1.2692079417746878,6.180624235197621,3.0828746757412206,44.997656667671194,37.306817780726526,68.75,55977373.835361436,0.00013933424247699732,0.32635041094779266,0.3263504406919413,1.5453869397729152,0.016607509761262105,0.3198474431164775,4.735360358305595,1.2706280406630373,6.016881653925692,3.0855547847004994,45.28832537497419,37.93287428361146,68.75,57179101.0477802,89.80891719745223,16,test,1,3
